WELLNESS_life_satisfaction,DEMO_household_income,WORK_hours_per_week,CONNECTION_social_num_close_friends_p3m
10,Presented but no response,0,2
6,"$20,000 to $24,999",2,NA
8,"$5,000 to $9,999",NA,0
NA,NA,NA,NA
NA,NA,NA,NA
5,"$35,000 to $39,999",36,3
5,Presented but no response,140,NA
7,"$35,000 to $39,999",0,0
3,"$100,000 to $109,999",40,NA
3,NA,NA,NA
8,NA,NA,NA
6,"$35,000 to $39,999",0,3
NA,NA,NA,NA
3,"$80,000 to $89,999",15,2
3,Presented but no response,NA,NA
6,"$140,000 to $149,999",30,NA
5,NA,NA,NA
5,NA,NA,NA
1,NA,NA,1
8,"$80,000 to $89,999",0,4
9,NA,NA,2
NA,NA,NA,NA
2,"$60,000 to $69,999",NA,0
NA,NA,NA,NA
6,"$150,000 to $159,999",NA,NA
9,NA,NA,3
5,NA,NA,NA
10,NA,NA,NA
7,"$50,000 to $59,999",40,NA
6,NA,NA,NA
NA,NA,NA,NA
2,"$20,000 to $24,999",5,NA
4,Presented but no response,40,NA
9,NA,NA,NA
7,NA,NA,NA
7,NA,NA,1
5,"$150,000 to $159,999",40,30
2,"$20,000 to $24,999",0,1
10,"$25,000 to $29,999",NA,30
9,"$50,000 to $59,999",40,3
5,"$35,000 to $39,999",30,NA
6,"$10,000 to $14,999",NA,2
7,"$50,000 to $59,999",NA,4
7,"$90,000 to $99,999",NA,5
8,NA,NA,NA
6,"$10,000 to $14,999",0,NA
10,"$100,000 to $109,999",NA,2
7,"$140,000 to $149,999",35,2
5,"$40,000 to $44,999",NA,16
3,"$5,000 to $9,999",NA,10
NA,NA,NA,NA
4,"$30,000 to $34,999",0,0
NA,NA,NA,NA
6,"$60,000 to $69,999",10,0
8,"$50,000 to $59,999",NA,6
7,"$110,000 to $119,999",40,2
8,"$10,000 to $14,999",3,NA
5,"$70,000 to $79,999",40,NA
8,"$100,000 to $109,999",40,NA
8,"$80,000 to $89,999",0,4
5,NA,NA,NA
10,NA,NA,NA
8,"$90,000 to $99,999",35,NA
6,"$170,000 to $179,999",36,3
7,Presented but no response,NA,2
NA,NA,NA,NA
4,"$60,000 to $69,999",0,3
10,"$130,000 to $139,999",NA,5
3,"$25,000 to $29,999",32,3
NA,NA,NA,NA
8,"$50,000 to $59,999",NA,10
1,"$10,000 to $14,999",0,0
NA,NA,NA,NA
6,"$120,000 to $129,999",25,1
7,NA,NA,NA
3,Presented but no response,NA,0
3,"$200,000 or more",26,3
NA,NA,NA,NA
5,NA,NA,0
6,"$20,000 to $24,999",0,0
7,"$50,000 to $59,999",NA,2
8,"$60,000 to $69,999",0,8
10,"$15,000 to $19,999",8,NA
7,"$150,000 to $159,999",35,2
9,"$70,000 to $79,999",NA,0
8,"$100,000 to $109,999",40,NA
5,"$140,000 to $149,999",50,NA
8,"$130,000 to $139,999",0,6
9,Presented but no response,45,3
8,"$45,000 to $49,999",NA,2
5,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
NA,NA,NA,NA
5,"$200,000 or more",20,5
6,NA,NA,NA
NA,NA,NA,NA
6,NA,NA,NA
1,NA,NA,NA
2,"$70,000 to $79,999",48,NA
4,NA,NA,NA
4,NA,NA,NA
6,"$35,000 to $39,999",0,NA
8,"$70,000 to $79,999",35,NA
NA,NA,NA,NA
5,"Under $5,000",NA,2
8,"$45,000 to $49,999",NA,2
6,"$130,000 to $139,999",3,NA
8,"$60,000 to $69,999",NA,4
NA,NA,NA,NA
NA,NA,NA,NA
4,NA,NA,NA
4,"$25,000 to $29,999",35,NA
6,"$60,000 to $69,999",8,NA
7,"$20,000 to $24,999",0,NA
6,"$130,000 to $139,999",35,1
NA,NA,NA,NA
3,"$30,000 to $34,999",30,NA
NA,NA,NA,NA
7,NA,NA,NA
9,"$80,000 to $89,999",43,3
7,"$70,000 to $79,999",45,1
5,"$20,000 to $24,999",NA,NA
NA,NA,NA,NA
1,"$150,000 to $159,999",58,6
4,"$100,000 to $109,999",30,NA
2,"$10,000 to $14,999",0,0
3,"$30,000 to $34,999",20,NA
NA,NA,NA,NA
8,NA,NA,NA
4,NA,NA,NA
5,"$35,000 to $39,999",NA,0
6,"$5,000 to $9,999",24,NA
6,"$35,000 to $39,999",NA,150
NA,NA,NA,NA
NA,NA,NA,NA
9,"$80,000 to $89,999",0,10
7,"$15,000 to $19,999",25,NA
1,"$25,000 to $29,999",6,NA
8,"$25,000 to $29,999",NA,4
4,"$100,000 to $109,999",40,2
9,"$15,000 to $19,999",0,0
3,"$140,000 to $149,999",37,2
3,"$90,000 to $99,999",40,1
6,Presented but no response,NA,7
3,NA,NA,NA
10,"$160,000 to $169,999",NA,2
8,"$170,000 to $179,999",29,4
NA,NA,NA,NA
3,NA,NA,NA
7,"$15,000 to $19,999",0,NA
5,"$45,000 to $49,999",0,NA
4,"$60,000 to $69,999",NA,6
7,"$200,000 or more",40,15
8,"$130,000 to $139,999",NA,5
7,"$50,000 to $59,999",44,NA
NA,NA,NA,NA
2,NA,NA,1
4,"$80,000 to $89,999",NA,2
4,"$50,000 to $59,999",0,1
7,"$90,000 to $99,999",0,2
1,"$20,000 to $24,999",0,NA
8,"$100,000 to $109,999",35,NA
NA,NA,NA,NA
9,"$170,000 to $179,999",44,8
8,"$90,000 to $99,999",40,5
NA,NA,NA,NA
7,NA,NA,NA
8,"$90,000 to $99,999",30,5
1,"$15,000 to $19,999",0,4
NA,NA,NA,NA
10,"$15,000 to $19,999",8,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,NA,NA,NA
NA,NA,NA,NA
8,"$50,000 to $59,999",NA,58
9,Presented but no response,NA,2
6,"$130,000 to $139,999",NA,4
7,"$100,000 to $109,999",23,4
NA,NA,NA,NA
NA,NA,NA,NA
7,"$150,000 to $159,999",NA,NA
8,NA,NA,15
7,"$30,000 to $34,999",NA,NA
6,NA,NA,NA
NA,NA,NA,NA
10,NA,NA,2
8,"$130,000 to $139,999",45,NA
3,"$70,000 to $79,999",NA,0
7,"$100,000 to $109,999",NA,1
6,Presented but no response,NA,NA
6,"$140,000 to $149,999",38,2
2,"$10,000 to $14,999",4,NA
5,"$5,000 to $9,999",0,3
9,"$90,000 to $99,999",40,4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,"$90,000 to $99,999",35,1
8,Presented but no response,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
10,"$100,000 to $109,999",NA,3
4,NA,NA,2
NA,NA,NA,NA
3,"$130,000 to $139,999",NA,60
6,"$25,000 to $29,999",50,4
9,"$200,000 or more",NA,3
7,"$10,000 to $14,999",4,NA
6,NA,NA,2
8,"$25,000 to $29,999",NA,4
2,"$20,000 to $24,999",0,NA
NA,NA,NA,NA
8,"$70,000 to $79,999",NA,1
1,"Under $5,000",0,NA
10,"$20,000 to $24,999",0,NA
8,"$90,000 to $99,999",8,NA
2,"$40,000 to $44,999",0,NA
9,NA,NA,NA
9,"$15,000 to $19,999",NA,NA
4,"$10,000 to $14,999",6,NA
9,"$15,000 to $19,999",NA,1
NA,NA,NA,NA
4,"$25,000 to $29,999",0,NA
NA,NA,NA,NA
10,NA,NA,NA
7,NA,NA,NA
5,Presented but no response,NA,1
7,NA,NA,NA
2,"$60,000 to $69,999",NA,5
8,NA,NA,4
NA,NA,NA,NA
6,NA,NA,1
8,"$40,000 to $44,999",0,8
8,"$30,000 to $34,999",NA,2
8,Presented but no response,NA,0
9,"$190,000 to $199,999",0,5
8,"$45,000 to $49,999",8,3
3,"$100,000 to $109,999",44,2
7,"$30,000 to $34,999",8,NA
6,NA,NA,NA
8,"$60,000 to $69,999",21,NA
5,"$70,000 to $79,999",40,NA
10,"$90,000 to $99,999",60,5
5,"$10,000 to $14,999",0,2
6,"$5,000 to $9,999",3,NA
4,"$20,000 to $24,999",0,5
9,"$5,000 to $9,999",10,NA
NA,NA,NA,NA
2,"$20,000 to $24,999",0,2
7,Presented but no response,NA,3
6,"$30,000 to $34,999",0,NA
4,NA,NA,NA
8,"$70,000 to $79,999",5,NA
8,"$60,000 to $69,999",8,NA
10,"$10,000 to $14,999",NA,2
6,"$50,000 to $59,999",45,3
2,"$10,000 to $14,999",35,NA
5,NA,NA,NA
NA,NA,NA,NA
3,Presented but no response,0,NA
9,"$110,000 to $119,999",60,2
2,"$30,000 to $34,999",NA,0
7,"$10,000 to $14,999",49,NA
8,NA,NA,NA
5,"$200,000 or more",40,3
NA,NA,NA,NA
10,NA,NA,NA
6,"$100,000 to $109,999",NA,10
8,NA,NA,NA
3,NA,NA,0
8,"$30,000 to $34,999",NA,1
8,"$90,000 to $99,999",40,7
NA,NA,NA,NA
10,"$30,000 to $34,999",20,NA
NA,NA,NA,NA
7,NA,NA,NA
7,"$15,000 to $19,999",60,NA
5,"$20,000 to $24,999",NA,0
1,"Under $5,000",8,2
7,"$35,000 to $39,999",NA,6
8,NA,NA,2
8,NA,NA,NA
9,NA,NA,NA
10,"$35,000 to $39,999",40,150
5,"$25,000 to $29,999",0,2
5,"$20,000 to $24,999",40,0
3,"$35,000 to $39,999",22,1
10,"$60,000 to $69,999",0,NA
6,"$50,000 to $59,999",35,0
3,"$40,000 to $44,999",NA,0
8,NA,NA,NA
7,NA,NA,NA
8,"$25,000 to $29,999",0,NA
7,"$90,000 to $99,999",4,NA
6,NA,NA,NA
6,NA,NA,NA
7,"$30,000 to $34,999",0,NA
8,"$150,000 to $159,999",0,3
10,Presented but no response,NA,NA
NA,NA,NA,NA
8,"$45,000 to $49,999",NA,94
10,"$70,000 to $79,999",0,2
NA,NA,NA,NA
7,"$60,000 to $69,999",40,5
NA,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
8,Presented but no response,NA,NA
NA,NA,NA,NA
6,"$20,000 to $24,999",NA,1
6,"$70,000 to $79,999",NA,NA
8,NA,NA,NA
6,NA,NA,NA
8,"$50,000 to $59,999",35,NA
8,"$15,000 to $19,999",NA,3
1,"$80,000 to $89,999",0,NA
1,"$5,000 to $9,999",NA,NA
7,"$40,000 to $44,999",32,NA
4,"$20,000 to $24,999",0,3
8,"$20,000 to $24,999",0,2
NA,Presented but no response,NA,NA
8,"$70,000 to $79,999",NA,1
9,"$50,000 to $59,999",NA,6
6,"$130,000 to $139,999",35,7
NA,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,"$80,000 to $89,999",0,1
7,"$80,000 to $89,999",0,NA
7,"$20,000 to $24,999",0,3
8,"$80,000 to $89,999",0,3
6,Presented but no response,NA,NA
8,NA,NA,0
8,"$140,000 to $149,999",NA,NA
6,NA,NA,NA
8,"$25,000 to $29,999",5,NA
1,"$10,000 to $14,999",NA,4
10,"$10,000 to $14,999",3,NA
7,"$50,000 to $59,999",NA,11
NA,NA,NA,NA
7,"$10,000 to $14,999",4,NA
7,"$200,000 or more",30,8
7,"$100,000 to $109,999",NA,1
NA,NA,NA,NA
3,"Under $5,000",37,NA
7,"$180,000 to $189,999",45,4
10,"$10,000 to $14,999",NA,1
7,"$100,000 to $109,999",50,5
10,"$15,000 to $19,999",0,2
5,"$150,000 to $159,999",38,NA
10,NA,NA,NA
4,Presented but no response,40,NA
5,"$120,000 to $129,999",35,4
5,"$20,000 to $24,999",NA,NA
9,"$50,000 to $59,999",35,NA
10,NA,NA,67
6,"$35,000 to $39,999",0,1
3,"$45,000 to $49,999",0,NA
8,"$45,000 to $49,999",0,2
NA,NA,NA,NA
6,"$25,000 to $29,999",NA,0
9,Presented but no response,NA,NA
5,"$200,000 or more",25,3
7,"$80,000 to $89,999",40,NA
3,"$30,000 to $34,999",35,3
9,"$90,000 to $99,999",NA,12
NA,NA,NA,NA
NA,NA,NA,NA
7,"$70,000 to $79,999",NA,145
8,NA,NA,NA
7,NA,NA,NA
10,Presented but no response,38,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,NA,NA,NA
6,NA,NA,NA
4,Presented but no response,45,NA
8,"$35,000 to $39,999",40,NA
4,"Under $5,000",0,0
8,"$110,000 to $119,999",35,7
6,NA,NA,NA
6,"$30,000 to $34,999",9,NA
5,"$20,000 to $24,999",0,0
NA,NA,NA,NA
8,"$80,000 to $89,999",47,3
7,"$100,000 to $109,999",40,3
NA,NA,NA,NA
NA,NA,NA,NA
5,"$35,000 to $39,999",7,NA
NA,NA,NA,NA
8,Presented but no response,NA,NA
5,NA,NA,NA
5,"$100,000 to $109,999",0,0
8,NA,NA,1
NA,NA,NA,NA
5,"$60,000 to $69,999",8,NA
9,"$50,000 to $59,999",5,NA
NA,NA,NA,3
8,"$40,000 to $44,999",2,NA
NA,NA,NA,NA
3,"$40,000 to $44,999",0,0
10,"$190,000 to $199,999",10,1
8,"$20,000 to $24,999",20,NA
8,"$15,000 to $19,999",7,NA
NA,NA,NA,NA
7,"$100,000 to $109,999",50,NA
9,"$80,000 to $89,999",0,NA
8,NA,NA,NA
8,NA,NA,NA
6,NA,NA,NA
4,"$70,000 to $79,999",30,NA
NA,NA,NA,NA
2,"Under $5,000",0,0
3,"$45,000 to $49,999",0,3
6,NA,NA,NA
7,"$10,000 to $14,999",40,NA
5,"$45,000 to $49,999",0,2
10,"$150,000 to $159,999",30,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,NA,NA,NA
8,NA,NA,NA
8,Presented but no response,37.5,NA
8,NA,NA,NA
6,NA,NA,6
9,NA,NA,NA
2,"$45,000 to $49,999",12,2
8,"$90,000 to $99,999",12,NA
7,NA,NA,NA
6,"$80,000 to $89,999",0,4
6,"$90,000 to $99,999",40,NA
9,"$15,000 to $19,999",0,NA
6,"$80,000 to $89,999",3,NA
5,"$100,000 to $109,999",30,NA
8,"$20,000 to $24,999",16,7
6,"$45,000 to $49,999",38,0
7,"$180,000 to $189,999",40,NA
4,"$35,000 to $39,999",NA,2
7,NA,NA,NA
10,"$100,000 to $109,999",50,8
2,"$45,000 to $49,999",10,6
8,"$25,000 to $29,999",NA,20
9,NA,NA,NA
9,"$45,000 to $49,999",20,NA
9,NA,NA,NA
NA,NA,NA,NA
4,"$25,000 to $29,999",NA,6
NA,NA,NA,NA
1,"$100,000 to $109,999",70,NA
8,"$15,000 to $19,999",0,5
1,"$25,000 to $29,999",NA,2
NA,NA,NA,NA
3,NA,NA,7
5,"$25,000 to $29,999",2,NA
7,"$50,000 to $59,999",NA,NA
10,"$70,000 to $79,999",0,6
5,"$150,000 to $159,999",NA,3
8,"$35,000 to $39,999",2,NA
5,NA,NA,0
NA,NA,NA,NA
6,"$45,000 to $49,999",NA,3
NA,NA,NA,NA
8,"$45,000 to $49,999",30,4
9,"$110,000 to $119,999",70,1
10,NA,NA,1
7,"$60,000 to $69,999",50,20
4,"$60,000 to $69,999",NA,10
9,"$25,000 to $29,999",0,NA
4,"$35,000 to $39,999",0,1
6,"$35,000 to $39,999",10,4
6,"$80,000 to $89,999",NA,2
1,"$100,000 to $109,999",NA,1
7,"$30,000 to $34,999",NA,6
7,Presented but no response,NA,NA
4,Presented but no response,40,NA
7,"$25,000 to $29,999",0,3
9,NA,NA,NA
7,"$200,000 or more",12,NA
9,NA,NA,NA
7,"$45,000 to $49,999",NA,4
9,"$120,000 to $129,999",NA,2
7,"$15,000 to $19,999",8,5
4,"$25,000 to $29,999",0,60
9,"$45,000 to $49,999",40,NA
10,NA,NA,NA
NA,NA,NA,NA
6,"$90,000 to $99,999",5,4
NA,NA,NA,NA
4,"$30,000 to $34,999",8,NA
8,"$45,000 to $49,999",NA,1
8,"$20,000 to $24,999",0,3
NA,NA,NA,NA
9,"$20,000 to $24,999",NA,5
9,"Under $5,000",2,NA
9,"$15,000 to $19,999",NA,2
9,"$30,000 to $34,999",0,3
7,"$50,000 to $59,999",35,7
7,"$110,000 to $119,999",40,12
NA,NA,NA,NA
4,"$10,000 to $14,999",0,2
4,"$20,000 to $24,999",NA,30
10,"$90,000 to $99,999",8,1
5,"$45,000 to $49,999",NA,20
7,Presented but no response,NA,1
7,"$50,000 to $59,999",45,NA
7,NA,NA,NA
5,NA,NA,NA
4,NA,NA,NA
7,NA,NA,NA
6,"$5,000 to $9,999",0,4
8,"$70,000 to $79,999",0,4
9,NA,NA,NA
8,NA,NA,NA
6,"$40,000 to $44,999",3,NA
5,NA,NA,NA
6,"$30,000 to $34,999",35,NA
6,NA,NA,NA
1,Presented but no response,NA,1
2,"$35,000 to $39,999",0,2
8,"$15,000 to $19,999",30,NA
9,"$110,000 to $119,999",NA,1
7,Presented but no response,NA,42
10,NA,NA,NA
6,"$35,000 to $39,999",40,NA
7,NA,NA,NA
7,NA,NA,NA
NA,NA,NA,NA
6,NA,NA,NA
NA,NA,NA,4
6,"$90,000 to $99,999",NA,17
5,"$100,000 to $109,999",NA,2
9,Presented but no response,0,4
5,"$50,000 to $59,999",40,2
4,"$130,000 to $139,999",30,2
6,"$20,000 to $24,999",NA,2
7,"$70,000 to $79,999",35,1
9,"$25,000 to $29,999",0,3
5,NA,NA,NA
10,"$40,000 to $44,999",3,NA
6,"$20,000 to $24,999",0,0
3,"$90,000 to $99,999",0,7
4,"$80,000 to $89,999",40,NA
9,"$60,000 to $69,999",NA,14
4,"$25,000 to $29,999",NA,1
10,"$150,000 to $159,999",28,NA
4,"$170,000 to $179,999",0,3
NA,NA,NA,NA
6,"$40,000 to $44,999",NA,4
NA,NA,NA,NA
6,"$50,000 to $59,999",NA,12
7,"$25,000 to $29,999",21,NA
9,"$50,000 to $59,999",3,7
8,"$100,000 to $109,999",NA,5
1,"$30,000 to $34,999",NA,1
5,"$60,000 to $69,999",NA,20
4,NA,NA,NA
8,"$60,000 to $69,999",25,4
NA,NA,NA,NA
6,"$20,000 to $24,999",0,1
NA,NA,NA,NA
2,"$150,000 to $159,999",50,NA
6,"$70,000 to $79,999",30,NA
NA,NA,NA,NA
4,"$25,000 to $29,999",NA,0
8,"$50,000 to $59,999",0,2
7,NA,NA,NA
NA,NA,NA,NA
10,"$40,000 to $44,999",NA,NA
8,Presented but no response,0,10
1,"$50,000 to $59,999",25,0
NA,NA,NA,NA
6,"$80,000 to $89,999",5,NA
7,Presented but no response,4,NA
1,NA,NA,0
8,"$80,000 to $89,999",NA,7
NA,NA,NA,NA
7,"$20,000 to $24,999",25,NA
1,"Under $5,000",15,NA
NA,NA,NA,NA
8,NA,NA,NA
2,"$80,000 to $89,999",65,1
8,"$35,000 to $39,999",NA,3
9,"$80,000 to $89,999",NA,6
6,Presented but no response,0,NA
NA,NA,NA,NA
7,"$30,000 to $34,999",35,7
7,Presented but no response,40,2
NA,NA,NA,NA
NA,NA,NA,NA
9,"$20,000 to $24,999",20,NA
7,NA,NA,NA
6,NA,NA,NA
8,NA,NA,NA
10,"$50,000 to $59,999",NA,NA
5,NA,NA,NA
NA,NA,NA,NA
7,"$40,000 to $44,999",0,NA
6,"$20,000 to $24,999",0,6
6,NA,NA,NA
NA,NA,NA,NA
4,"$15,000 to $19,999",10,2
6,NA,NA,NA
6,NA,NA,NA
1,"$5,000 to $9,999",0,1
5,"$45,000 to $49,999",40,NA
NA,NA,NA,NA
6,"$80,000 to $89,999",NA,0
NA,NA,NA,NA
8,"$160,000 to $169,999",35,3
4,"$20,000 to $24,999",0,NA
4,NA,NA,NA
6,"$100,000 to $109,999",NA,1
6,"$10,000 to $14,999",10,NA
8,"$100,000 to $109,999",NA,8
5,Presented but no response,0,6
5,"$45,000 to $49,999",6,NA
1,"$50,000 to $59,999",0,NA
10,"$30,000 to $34,999",NA,2
1,"$30,000 to $34,999",0,NA
5,"$35,000 to $39,999",NA,35
7,"$25,000 to $29,999",NA,1
8,"$20,000 to $24,999",0,NA
9,NA,NA,NA
9,NA,NA,NA
NA,NA,NA,NA
5,"$200,000 or more",NA,1
7,NA,NA,NA
NA,Presented but no response,NA,NA
7,"$120,000 to $129,999",10,2
9,NA,0,NA
10,"$100,000 to $109,999",6,NA
6,"$130,000 to $139,999",0,NA
5,NA,NA,NA
1,"Under $5,000",20,NA
7,NA,NA,5
1,NA,NA,1
6,"$30,000 to $34,999",0,NA
NA,NA,NA,NA
2,NA,NA,NA
4,"$120,000 to $129,999",42,1
5,NA,NA,NA
7,NA,NA,NA
3,"$90,000 to $99,999",NA,2
4,"$60,000 to $69,999",NA,12
5,"$90,000 to $99,999",55,NA
NA,NA,NA,NA
5,Presented but no response,NA,NA
4,"$130,000 to $139,999",35,NA
9,NA,NA,NA
3,Presented but no response,NA,NA
6,NA,NA,NA
10,"$60,000 to $69,999",NA,2
7,"$35,000 to $39,999",0,6
6,"$50,000 to $59,999",NA,1
4,"$170,000 to $179,999",NA,6
NA,NA,NA,0
9,"$50,000 to $59,999",8,NA
5,NA,NA,4
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,"$20,000 to $24,999",7,0
8,"$30,000 to $34,999",22,NA
5,"$80,000 to $89,999",NA,4
NA,NA,NA,NA
9,"$60,000 to $69,999",0,NA
7,"$25,000 to $29,999",30,6
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,NA,NA,NA
8,"$20,000 to $24,999",20,NA
8,"$190,000 to $199,999",35,NA
7,"$60,000 to $69,999",38,5
9,"$190,000 to $199,999",30,15
4,"$25,000 to $29,999",0,0
NA,NA,NA,NA
5,"$15,000 to $19,999",8,8
4,"$100,000 to $109,999",40,1
NA,NA,NA,NA
NA,"$15,000 to $19,999",3,3
2,"$10,000 to $14,999",0,0
7,"$10,000 to $14,999",0,3
3,Presented but no response,NA,NA
7,NA,NA,NA
3,NA,NA,0
7,"$35,000 to $39,999",40,NA
8,"$90,000 to $99,999",NA,1
5,"$70,000 to $79,999",32,NA
4,"$70,000 to $79,999",35,35
10,"$50,000 to $59,999",0,5
9,NA,NA,NA
6,"$25,000 to $29,999",NA,6
6,"$25,000 to $29,999",40,NA
NA,NA,NA,NA
7,NA,NA,NA
2,"$10,000 to $14,999",0,NA
6,NA,NA,NA
7,NA,NA,NA
NA,NA,NA,NA
7,"$5,000 to $9,999",5,NA
5,"$50,000 to $59,999",46,4
7,"$90,000 to $99,999",30,NA
NA,NA,NA,NA
4,"$10,000 to $14,999",NA,0
6,"$10,000 to $14,999",3,NA
3,Presented but no response,6,NA
5,"$25,000 to $29,999",0,4
7,NA,NA,0
7,Presented but no response,10,NA
9,"$70,000 to $79,999",0,15
1,NA,0,NA
3,"$35,000 to $39,999",0,3
10,NA,NA,NA
5,"$190,000 to $199,999",NA,1
7,"$100,000 to $109,999",NA,4
7,"$90,000 to $99,999",45,2
6,NA,NA,NA
1,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
8,"$50,000 to $59,999",8,NA
NA,NA,NA,NA
10,"$40,000 to $44,999",48,NA
NA,NA,NA,NA
2,"$70,000 to $79,999",NA,2
NA,NA,NA,NA
8,"$60,000 to $69,999",20,NA
7,NA,NA,5
7,"$50,000 to $59,999",NA,3
7,NA,NA,NA
5,"$25,000 to $29,999",0,NA
5,"$20,000 to $24,999",0,0
9,"$35,000 to $39,999",7,NA
7,NA,NA,NA
9,NA,NA,NA
8,"$90,000 to $99,999",0,NA
7,"$20,000 to $24,999",35,NA
6,"$45,000 to $49,999",35,NA
5,"$60,000 to $69,999",30,NA
8,"$20,000 to $24,999",8,1
5,"$20,000 to $24,999",45,2
5,"$110,000 to $119,999",0,3
7,"$80,000 to $89,999",40,NA
3,"$70,000 to $79,999",40,0
6,"$80,000 to $89,999",35,2
7,"$50,000 to $59,999",0,10
7,"$30,000 to $34,999",5,NA
2,"$20,000 to $24,999",20,NA
10,NA,NA,NA
8,NA,NA,3
NA,NA,NA,NA
4,"$45,000 to $49,999",30,NA
NA,NA,NA,NA
5,"$25,000 to $29,999",0,NA
7,"$60,000 to $69,999",NA,83
7,"$180,000 to $189,999",NA,25
8,"$40,000 to $44,999",NA,20
6,"$100,000 to $109,999",NA,2
9,"$15,000 to $19,999",0,3
8,"$130,000 to $139,999",NA,2
7,"$90,000 to $99,999",20,0
10,"$30,000 to $34,999",9,NA
9,"$45,000 to $49,999",40,NA
8,"$60,000 to $69,999",8,NA
6,"$25,000 to $29,999",0,2
7,"$100,000 to $109,999",NA,3
3,"$30,000 to $34,999",NA,3
6,NA,NA,NA
8,"$25,000 to $29,999",NA,1
8,NA,NA,NA
6,"$35,000 to $39,999",NA,14
4,"$200,000 or more",0,NA
5,"$190,000 to $199,999",24,8
NA,"$80,000 to $89,999",38,48
5,"$60,000 to $69,999",40,NA
6,"$120,000 to $129,999",NA,4
8,"$50,000 to $59,999",NA,7
6,NA,NA,NA
7,"$70,000 to $79,999",35,3
10,NA,NA,NA
NA,NA,NA,NA
5,"$45,000 to $49,999",NA,20
7,"$80,000 to $89,999",0,2
10,NA,NA,NA
